pension_fund;company ;invested_amount
AkademikerPension;company_name: ANDRITZ AG;9035889.67000961
AkademikerPension;company_name: Verbund AG;535484.04264
AkademikerPension;company_name: Wienerberger AG;489278.539054215
AkademikerPension;company_name: ams AG;9582835.98899249
AkademikerPension;company_name: Oesterreichische Post AG;283768.092184449
AkademikerPension;company_name: Pendal Group Ltd;1279011.44099595
AkademikerPension;company_name: Asaleo Care Ltd;311739.24
AkademikerPension;company_name: Aristocrat Leisure Ltd;159265.740991766
AkademikerPension;company_name: ALS Ltd;10314327.76
AkademikerPension;company_name: Altium Ltd;14675679.27
AkademikerPension;company_name: AMP Ltd;210881.09
AkademikerPension;company_name: AUST AND NZ BANKING GROUP;15375.58598142
AkademikerPension;company_name: Australia & New Zealand Banking Group Ltd;723352.74
AkademikerPension;company_name: Afterpay Ltd;52173246.8698483
AkademikerPension;company_name: ARB Corp Ltd;1264033.30473119
AkademikerPension;company_name: Aurizon Holdings Ltd;464861.38
AkademikerPension;company_name: BHP Group Ltd;864932.15
AkademikerPension;company_name: BlueScope Steel Ltd;917444.99
AkademikerPension;company_name: Brambles Ltd;27064700.0083148
AkademikerPension;company_name: carsales.com Ltd;7762697.73
AkademikerPension;company_name: Challenger Ltd;102934.07
AkademikerPension;company_name: Sungard AS New Holdings III LLC;86069.3048419842
AkademikerPension;company_name: Superior Energy Services Inc;4876.30308519994
AkademikerPension;company_name: a2 Milk Co Ltd/The;3541279.4
AkademikerPension;company_name: Fisher & Paykel Healthcare Corp Ltd;20645924.7901157
AkademikerPension;company_name: Fletcher Building Ltd;416220.93
AkademikerPension;company_name: SKY Network Television Ltd;94699.0000000001
AkademikerPension;company_name: Xero Ltd;55058026.5397112
AkademikerPension;company_name: Copa Holdings SA;26475067.0386764
AkademikerPension;company_name: Ayala Land Inc;21203523.018685
AkademikerPension;company_name: BANK OF THE PHILIPPINE ISLAN;60200.1842401783
AkademikerPension;company_name: Bank of the Philippine Islands;8026691.23537698
AkademikerPension;company_name: GT Capital Holdings Inc;509884.860641693
AkademikerPension;company_name: FIRST BANCORP PUERTO RICO;23846.623908
AkademikerPension;company_name: First BanCorp/Puerto Rico;4841240.7
AkademikerPension;company_name: Popular Inc;4323906.8552835
AkademikerPension;company_name: Jeronimo Martins SGPS SA;486822.302129009
AkademikerPension;company_name: Alrosa PJSC;804648.459918326
AkademikerPension;company_name: Sberbank of Russia PJSC;19143639.6143176
AkademikerPension;company_name: SKF AB;13273406.6633907
AkademikerPension;company_name: Telefonaktiebolaget LM Ericsson;161110047.305397
AkademikerPension;company_name: Skanska AB;5239693.04
AkademikerPension;company_name: Trelleborg AB;6148926.74
AkademikerPension;company_name: Volvo AB;33971461.6960737
AkademikerPension;company_name: SSAB AB;3869236.51
AkademikerPension;company_name: Skandinaviska Enskilda Banken AB;40280221.8488569
AkademikerPension;company_name: Getinge AB;262223.69
AkademikerPension;company_name: Modern Times Group MTG AB;119935.100307132
AkademikerPension;company_name: Sandvik AB;20269610.1958841
AkademikerPension;company_name: Cellavision AB;2530996.36
AkademikerPension;company_name: BillerudKorsnas AB;5760095.79
AkademikerPension;company_name: INVISIO AB;4402581.34
AkademikerPension;company_name: Fortnox AB;2416749.11
AkademikerPension;company_name: Genovis AB;3483834.05
AkademikerPension;company_name: Xvivo Perfusion AB;4466050.02
AkademikerPension;company_name: Inwido AB;6752577.04
AkademikerPension;company_name: Assa Abloy AB;1388916.78130948
AkademikerPension;company_name: Svenska Handelsbanken AB;3356745.01500966
AkademikerPension;company_name: MIPS AB;11311639.59
AkademikerPension;company_name: Boozt AB;29385069.3
AkademikerPension;company_name: Essity AB;30398980.0542549
AkademikerPension;company_name: Arjo AB;11028859.29
AkademikerPension;company_name: BHG Group AB;3301043.9
AkademikerPension;company_name: Atlas Copco AB;91465322.4580255
AkademikerPension;company_name: Nordic Entertainment Group AB;307669.25
AkademikerPension;company_name: Avanza Bank Holding AB;9177345.22
AkademikerPension;company_name: Evolution AB;18188105.4840355
AkademikerPension;company_name: CELLINK AB;6934256.41
AkademikerPension;company_name: Sweco AB;4264553.86
AkademikerPension;company_name: Epiroc AB;7803832.61
AkademikerPension;company_name: Epiroc AB;124520.4
AkademikerPension;company_name: Boliden AB;44836058.7641073
AkademikerPension;company_name: Boliden AB;798532.976934545
AkademikerPension;company_name: Investor AB;21649734.0530522
AkademikerPension;company_name: Hexagon AB;37652364.8326568
AkademikerPension;company_name: Nibe Industrier AB;9265638.24286147
AkademikerPension;company_name: Jardine Cycle & Carriage Ltd;744690.538458483
AkademikerPension;company_name: Haw Par Corp Ltd;386592.460293828
AkademikerPension;company_name: Great Eastern Holdings Ltd;558906.580424795
AkademikerPension;company_name: Singapore Land Group Ltd;55548.4200422196
AkademikerPension;company_name: DBS GROUP HOLDINGS LTD;761277.584152225
AkademikerPension;company_name: UNITED OVERSEAS BANK LTD;802245.947289922
AkademikerPension;company_name: Delfi Ltd;749057.760569319
AkademikerPension;company_name: City Developments Ltd;25169178.9991298
AkademikerPension;company_name: Singapore Telecommunications Ltd;193105.280146769
AkademikerPension;company_name: Mapletree Industrial Trust;10605050.8080999
AkademikerPension;company_name: Flex Ltd;55165174.5555227
AkademikerPension;company_name: Genting Singapore Ltd;646329.840491241
AkademikerPension;company_name: Kasikornbank PCL;1383396.5507162
AkademikerPension;company_name: Major Cineplex Group PCL;947923.61513256
AkademikerPension;company_name: CP ALL PCL;10424235.6364732
AkademikerPension;company_name: THAI BEVERAGE PCL;660964.383611508
AkademikerPension;company_name: SRI TRANG GLOVES THA-FOREIGN;185088.3842016
AkademikerPension;company_name: Sri Trang Gloves Thailand PCL;5998234.6692
AkademikerPension;company_name: Ulker Biskuvi Sanayi AS;284129.380039602
AkademikerPension;company_name: Uni-President Enterprises Corp;1021750.49721792
AkademikerPension;company_name: Teco Electric and Machinery Co Ltd;811915.49778927
AkademikerPension;company_name: King Slide Works Co Ltd;977659.747337973
AkademikerPension;company_name: Delta Electronics Inc;27164056.777765
AkademikerPension;company_name: Hon Hai Precision Industry Co Ltd;16106761.3561436
AkademikerPension;company_name: Taiwan Semiconductor Manufacturing Co Ltd;410579516.634966
AkademikerPension;company_name: Chroma ATE Inc;25907312.2674912
AkademikerPension;company_name: Realtek Semiconductor Corp;15287199.13591
AkademikerPension;company_name: MediaTek Inc;80986248.1805111
AkademikerPension;company_name: Sinbon Electronics Co Ltd;4865037.8567532
AkademikerPension;company_name: eMemory Technology Inc;4151522.478696
AkademikerPension;company_name: RichWave Technology Corp;14610538.5502176
AkademikerPension;company_name: ASPEED Technology Inc;6359497.812684
AkademikerPension;company_name: KMC Kuei Meng International Inc;3728437.379848
AkademikerPension;company_name: Poya International Co Ltd;3786611.5796896
AkademikerPension;company_name: Voltronic Power Technology Corp;4003733.56909841
AkademikerPension;company_name: PChome Online Inc;753284.057948916
AkademikerPension;company_name: Merida Industry Co Ltd;1687440.29540534
AkademikerPension;company_name: Giant Manufacturing Co Ltd;2371582.55354252
AkademikerPension;company_name: AAR Corp;548052.5
AkademikerPension;company_name: AFLAC INC;3602097.1285445
AkademikerPension;company_name: AGCO CORP;8312229.87982
AkademikerPension;company_name: AES Corp/The;19715136.4936877
AkademikerPension;company_name: ALX Oncology Holdings Inc;1155669.5
AkademikerPension;company_name: AT&T Inc;68791559.4558
AkademikerPension;company_name: AZZ Inc;873962.61
AkademikerPension;company_name: AbbVie Inc;81218194.0187519
AkademikerPension;company_name: ABIOMED Inc;2196748.02
AkademikerPension;company_name: Acadia Realty Trust;2846448.32
AkademikerPension;company_name: Accolade Inc;1701182.8
AkademikerPension;company_name: Activision Blizzard Inc;100044553.948866
AkademikerPension;company_name: ADAPTHEALTH CORP;1883538.753938
AkademikerPension;company_name: Adobe Inc;201117116.11475
AkademikerPension;company_name: Advanced Micro Devices Inc;80078460.0611797
AkademikerPension;company_name: AeroVironment Inc;268750.14
AkademikerPension;company_name: Agilent Technologies Inc;33698210.2894287
AkademikerPension;company_name: Agree Realty Corp;6591112.8923055
AkademikerPension;company_name: Akero Therapeutics Inc;658664.75
AkademikerPension;company_name: Chassix Inc;1311394.40666493
AkademikerPension;company_name: Alamo Group Inc;8302018.43
AkademikerPension;company_name: Albany International Corp;521227.61
AkademikerPension;company_name: Alexandria Real Estate Equities Inc;73974606.742304
AkademikerPension;company_name: Align Technology Inc;2911370.74
AkademikerPension;company_name: Aligos Therapeutics Inc;305266.76
AkademikerPension;company_name: Allakos Inc;957668.5
AkademikerPension;company_name: Alleghany Corp;3810612.334298
AkademikerPension;company_name: Allegheny Technologies Inc;1060378.75
AkademikerPension;company_name: Allegiant Travel Co;8581218.78
AkademikerPension;company_name: ALLETE Inc;2161796.725452
