pension_fund,company ,invested_amount
AkademikerPension,ANDRITZ AG,9035890
AkademikerPension,Verbund AG,535485
AkademikerPension,Wienerberger AG,489279
AkademikerPension,ams AG,9582836
AkademikerPension,Oesterreichische Post AG,283769
AkademikerPension,Pendal Group Ltd,1279012
AkademikerPension,Asaleo Care Ltd,311740
AkademikerPension,Aristocrat Leisure Ltd,159266
AkademikerPension,ALS Ltd,10314328
AkademikerPension,Altium Ltd,14675680
AkademikerPension,AMP Ltd,210882
AkademikerPension,AUST AND NZ BANKING GROUP,15376
AkademikerPension,Australia & New Zealand Banking Group Ltd,723353
AkademikerPension,Afterpay Ltd,52173247
AkademikerPension,ARB Corp Ltd,1264034
AkademikerPension,Aurizon Holdings Ltd,464862
AkademikerPension,BHP Group Ltd,864933
AkademikerPension,BlueScope Steel Ltd,917445
AkademikerPension,Brambles Ltd,27064701
AkademikerPension,carsales.com Ltd,7762698
AkademikerPension,Challenger Ltd,102935
AkademikerPension,Sungard AS New Holdings III LLC,86070
AkademikerPension,Superior Energy Services Inc,4877
AkademikerPension,a2 Milk Co Ltd/The,3541280
AkademikerPension,Fisher & Paykel Healthcare Corp Ltd,20645925
AkademikerPension,Fletcher Building Ltd,416221
AkademikerPension,SKY Network Television Ltd,94700
AkademikerPension,Xero Ltd,55058027
AkademikerPension,Copa Holdings SA,26475068
AkademikerPension,Ayala Land Inc,21203524
AkademikerPension,BANK OF THE PHILIPPINE ISLAN,60201
AkademikerPension,Bank of the Philippine Islands,8026692
AkademikerPension,GT Capital Holdings Inc,509885
AkademikerPension,FIRST BANCORP PUERTO RICO,23847
AkademikerPension,First BanCorp/Puerto Rico,4841241
AkademikerPension,Popular Inc,4323907
AkademikerPension,Jeronimo Martins SGPS SA,486823
AkademikerPension,Alrosa PJSC,804649
AkademikerPension,Sberbank of Russia PJSC,19143640
AkademikerPension,SKF AB,13273407
AkademikerPension,Telefonaktiebolaget LM Ericsson,161110048
AkademikerPension,Skanska AB,5239694
AkademikerPension,Trelleborg AB,6148927
AkademikerPension,Volvo AB,33971462
AkademikerPension,SSAB AB,3869237
AkademikerPension,Skandinaviska Enskilda Banken AB,40280222
AkademikerPension,Getinge AB,262224
AkademikerPension,Modern Times Group MTG AB,119936
AkademikerPension,Sandvik AB,20269611
AkademikerPension,Cellavision AB,2530997
AkademikerPension,BillerudKorsnas AB,5760096
AkademikerPension,INVISIO AB,4402582
AkademikerPension,Fortnox AB,2416750
AkademikerPension,Genovis AB,3483835
AkademikerPension,Xvivo Perfusion AB,4466051
AkademikerPension,Inwido AB,6752578
AkademikerPension,Assa Abloy AB,1388917
AkademikerPension,Svenska Handelsbanken AB,3356746
AkademikerPension,MIPS AB,11311640
AkademikerPension,Boozt AB,29385070
AkademikerPension,Essity AB,30398981
AkademikerPension,Arjo AB,11028860
AkademikerPension,BHG Group AB,3301044
AkademikerPension,Atlas Copco AB,91465323
AkademikerPension,Nordic Entertainment Group AB,307670
AkademikerPension,Avanza Bank Holding AB,9177346
AkademikerPension,Evolution AB,18188106
AkademikerPension,CELLINK AB,6934257
AkademikerPension,Sweco AB,4264554
AkademikerPension,Epiroc AB,7803833
AkademikerPension,Epiroc AB,124521
AkademikerPension,Boliden AB,44836059
AkademikerPension,Boliden AB,798533
AkademikerPension,Investor AB,21649735
AkademikerPension,Hexagon AB,37652365
AkademikerPension,Nibe Industrier AB,9265639
AkademikerPension,Jardine Cycle & Carriage Ltd,744691
AkademikerPension,Haw Par Corp Ltd,386593
AkademikerPension,Great Eastern Holdings Ltd,558907
AkademikerPension,Singapore Land Group Ltd,55549
AkademikerPension,DBS GROUP HOLDINGS LTD,761278
AkademikerPension,UNITED OVERSEAS BANK LTD,802246
AkademikerPension,Delfi Ltd,749058
AkademikerPension,City Developments Ltd,25169179
AkademikerPension,Singapore Telecommunications Ltd,193106
AkademikerPension,Mapletree Industrial Trust,10605051
AkademikerPension,Flex Ltd,55165175
AkademikerPension,Genting Singapore Ltd,646330
AkademikerPension,Kasikornbank PCL,1383397
AkademikerPension,Major Cineplex Group PCL,947924
AkademikerPension,CP ALL PCL,10424236
AkademikerPension,THAI BEVERAGE PCL,660965
AkademikerPension,SRI TRANG GLOVES THA-FOREIGN,185089
AkademikerPension,Sri Trang Gloves Thailand PCL,5998235
AkademikerPension,Ulker Biskuvi Sanayi AS,284130
AkademikerPension,Uni-President Enterprises Corp,1021751
AkademikerPension,Teco Electric and Machinery Co Ltd,811916
AkademikerPension,King Slide Works Co Ltd,977660
AkademikerPension,Delta Electronics Inc,27164057
AkademikerPension,Hon Hai Precision Industry Co Ltd,16106762
AkademikerPension,Taiwan Semiconductor Manufacturing Co Ltd,410579517
AkademikerPension,Chroma ATE Inc,25907313
AkademikerPension,Realtek Semiconductor Corp,15287200
AkademikerPension,MediaTek Inc,80986249
AkademikerPension,Sinbon Electronics Co Ltd,4865038
AkademikerPension,eMemory Technology Inc,4151523
AkademikerPension,RichWave Technology Corp,14610539
AkademikerPension,ASPEED Technology Inc,6359498
AkademikerPension,KMC Kuei Meng International Inc,3728438
AkademikerPension,Poya International Co Ltd,3786612
AkademikerPension,Voltronic Power Technology Corp,4003734
AkademikerPension,PChome Online Inc,753285
AkademikerPension,Merida Industry Co Ltd,1687441
AkademikerPension,Giant Manufacturing Co Ltd,2371583
AkademikerPension,AAR Corp,548053
AkademikerPension,AFLAC INC,3602098
AkademikerPension,AGCO CORP,8312230
AkademikerPension,AES Corp/The,19715137
AkademikerPension,ALX Oncology Holdings Inc,1155670
AkademikerPension,AT&T Inc,68791560
AkademikerPension,AZZ Inc,873963
AkademikerPension,AbbVie Inc,81218195
AkademikerPension,ABIOMED Inc,2196749
AkademikerPension,Acadia Realty Trust,2846449
AkademikerPension,Accolade Inc,1701183
AkademikerPension,Activision Blizzard Inc,100044554
AkademikerPension,ADAPTHEALTH CORP,1883539
AkademikerPension,Adobe Inc,201117117
AkademikerPension,Advanced Micro Devices Inc,80078461
AkademikerPension,AeroVironment Inc,268751
AkademikerPension,Agilent Technologies Inc,33698211
AkademikerPension,Agree Realty Corp,6591113
AkademikerPension,Akero Therapeutics Inc,658665
AkademikerPension,Chassix Inc,1311395
AkademikerPension,Alamo Group Inc,8302019
AkademikerPension,Albany International Corp,521228
AkademikerPension,Alexandria Real Estate Equities Inc,73974607
AkademikerPension,Align Technology Inc,2911371
AkademikerPension,Aligos Therapeutics Inc,305267
AkademikerPension,Allakos Inc,957669
AkademikerPension,Alleghany Corp,3810613
AkademikerPension,Allegheny Technologies Inc,1060379
AkademikerPension,Allegiant Travel Co,8581219
AkademikerPension,ALLETE Inc,2161797
AkademikerPension,Allscripts Healthcare Solutions Inc,1942696
AkademikerPension,Alpha Metallurgical Resources Inc,259736
AkademikerPension,Alphabet Inc,415817389
AkademikerPension,Alphabet Inc,657932223
AkademikerPension,Altice USA Inc,45513405
AkademikerPension,Altra Industrial Motion Corp,480706
AkademikerPension,Amazon.com Inc,543903905
AkademikerPension,AMERANT BANCORP INC,2302865
AkademikerPension,American Eagle Outfitters Inc,3574166
AkademikerPension,American Express Co,10300495
AkademikerPension,American Tower Corp,227761505
AkademikerPension,American Vanguard Corp,1139350
AkademikerPension,AMERICAN WATER WORKS CO INC,17039590
AkademikerPension,American Woodmark Corp,197746
AkademikerPension,AMERISAFE Inc,6792273
AkademikerPension,AMERISOURCEBERGEN CORP,85102664
AkademikerPension,Ameriprise Financial Inc,97538323
AkademikerPension,Ameris Bancorp,12843277
